"ISO
country
code",Country,World region,"Multidimensional Poverty Index
(MPI)",Education,Health,"Living 
standards",Total number of indicators included,Indicator(s) missing
TZA,"Tanzania, United Republic of",Sub-Saharan Africa,0.284,20.7,24.9,54.3,10,None
MRT,Mauritania,Sub-Saharan Africa,0.285,32.0,21.4,46.5,10,None
SDN,Sudan,Arab States,0.287,26.7,23.5,49.8,10,None
AFG,Afghanistan,South Asia,0.295,36.3,32.1,31.6,9,Nutrition
SEN,Senegal,Sub-Saharan Africa,0.296,41.3,27.3,31.4,10,None
NGA,Nigeria,Sub-Saharan Africa,0.303,28.2,33.1,38.7,10,None
BEN,Benin,Sub-Saharan Africa,0.307,41.7,13.4,45.0,10,None
CIV,Cote d'Ivoire,Sub-Saharan Africa,0.310,34.5,29.6,35.9,10,None
GMB,Gambia,Sub-Saharan Africa,0.323,28.9,37.4,33.7,10,None
MDG,Madagascar,Sub-Saharan Africa,0.357,34.3,16.7,49.1,10,None
TLS,Timor-Leste,East Asia and the Pacific,0.360,21.3,31.0,47.7,10,None
UGA,Uganda,Sub-Saharan Africa,0.367,15.6,34.1,50.4,10,None
GNB,Guinea-Bissau,Sub-Saharan Africa,0.371,30.8,26.6,42.6,10,None
LBR,Liberia,Sub-Saharan Africa,0.374,21.5,32.1,46.4,10,None
MOZ,Mozambique,Sub-Saharan Africa,0.389,29.1,20.7,50.2,10,None
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,0.401,15.0,31.6,53.3,10,None
CAF,Central African Republic,Sub-Saharan Africa,0.430,24.1,24.1,51.8,10,None
BDI,Burundi,Sub-Saharan Africa,0.454,23.1,28.9,48.0,10,None
MLI,Mali,Sub-Saharan Africa,0.457,36.1,24.9,38.9,10,None
GIN,Guinea,Sub-Saharan Africa,0.459,34.0,27.9,38.1,10,None
SLE,Sierra Leone,Sub-Saharan Africa,0.464,23.1,31.5,45.5,10,None
ETH,Ethiopia,Sub-Saharan Africa,0.506,25.4,26.1,48.5,10,None
SOM,Somalia,Arab States,0.514,34.2,18.6,47.2,10,None
BFA,Burkina Faso,Sub-Saharan Africa,0.535,36.2,27.9,35.9,10,None
TCD,Chad,Sub-Saharan Africa,0.552,31.4,23.9,44.7,10,None
SSD,South Sudan,Sub-Saharan Africa,0.557,40.1,12.7,47.2,10,None
NER,Niger,Sub-Saharan Africa,0.605,32.1,27.7,40.1,10,None
